2 30,92781 0 0 0 0 347 348 368 370 255 0 2 0,2488669 0,04264102 -13,56826
2 31,17888 0 0 0 0 347 348 369 370 255 0 3 0,2225799 -0,2769079 -13,72288
2 31,38618 0 0 0 0 347 348 369 371 255 0 4 0,6447948 -0,3954707 -13,83393
2 31,6171 0 0 0 0 347 347 370 371 255 0 4 0,7489854 -0,3541545 -13,86805
2 31,84776 0 0 0 0 347 347 369 371 255 0 4 0,6937857 -0,2099597 -13,83644
2 32,07798 0 0 0 0 347 348 370 371 255 0 4 0,6218256 -0,0758466 -13,8163
2 32,30918 0 0 0 0 347 347 370 372 255 0 4 0,5580876 0,03668397 -13,88735
2 32,56542 0 0 0 0 347 347 371 372 255 0 3 0,4762844 0,09834363 -13,99145
2 32,77547 0 0 0 0 347 347 370 372 255 0 3 0,3733406 0,06881685 -14,00652
2 33,01061 0 0 0 0 347 347 371 373 255 0 2 0,4031581 0,07919025 -14,11443
2 33,27242 0 0 0 0 347 347 371 373 255 0 1 -0,184902 0,1300672 -14,31109
2 33,48714 0 0 0 0 347 347 372 373 255 0 1 -0,4770448 0,07340383 -14,31821
2 33,72644 0 0 0 0 347 347 371 373 255 0 0 -0,6097377 0,08123647 -14,36981
2 33,99058 0 0 0 0 347 347 372 373 255 0 0 -0,7059591 0,05935868 -14,41841
2 34,20581 0 0 0 0 347 347 372 373 255 0 0 -0,825854 0,03405775 -14,35032
2 34,44285 0 0 0 0 347 347 372 373 255 0 0 -0,9599878 0,03307617 -14,207
2 34,70207 0 0 0 0 347 347 372 373 255 0 0 -1,01813 0,04058729 -14,15814
2 34,91397 0 0 0 0 347 347 372 373 255 0 0 -1,047093 0,03275176 -14,15032
2 35,15021 0 0 0 0 347 347 372 373 255 0 0 -1,159353 0,733946 -14,20668
2 35,41366 0 0 0 0 347 347 372 373 255 0 0 -1,241352 0,8545066 -14,40343
2 35,63231 0 0 0 0 347 347 372 372 255 0 0 -1,242563 0,6365814 -14,62716
2 35,87826 0 0 0 0 347 347 372 372 255 0 0 -1,205323 0,3168757 -14,79314
2 36,12573 0 0 0 0 347 347 372 372 255 0 0 -0,9029114 0,008926357 -14,81366
2 36,38564 0 0 0 0 347 347 372 372 255 0 0 -0,4428414 0,6583175 -15,7032
2 36,6505 0 0 0 0 347 347 371 372 255 0 -1 0,01372598 1,131706 -15,90717
2 36,93927 0 0 0 0 347 347 371 371 255 0 -1 0,4622138 1,38321 -15,70799
2 37,16769 0 0 0 0 347 347 371 371 255 0 -2 0,8701862 1,179277 -15,14618
2 37,41217 0 0 0 0 347 347 371 371 255 0 -2 1,129145 0,6595156 -14,59103
2 37,67297 0 0 0 0 347 347 370 370 255 0 -3 1,073999 0,009978667 -14,14672
